// Compost colors for forestry. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_desert_boat, #909e75
mahoe_sign, #8aaabc
mahogany_boat, #684134
mahogany_chest_boat, #764e30
mahogany_door, #78504a
mahogany_hanging_sign, #734a44
mahogany_sign, #754840
maple_boat, #a86e30
maple_chest_boat, #9e6b2f
maple_door, #c87f2d
maple_hanging_sign, #b6793a
maple_sign, #c08241
mouldy_wheat, #9a8728
mulch, #724e29
naturalist_helmet, #c9cdc8
padauk_boat, #aa5f33
padauk_chest_boat, #a06230
padauk_door, #af5b2d
padauk_hanging_sign, #bc6c3e
padauk_sign, #cf7539
palm_boat, #cd7d43
palm_chest_boat, #b4753a
palm_door, #ffa743
palm_hanging_sign, #e38d50
palm_sign, #ea8c44
papaya_boat, #fcd250
papaya_chest_boat, #d0a844
papaya_door, #fff864
papaya_hanging_sign, #ffea65
papaya_sign, #fff25e
peat, #48280e
phosphor, #76fff5
pine_boat, #d7a85e
pine_chest_boat, #bb904b
pine_door, #ffd06c
pine_hanging_sign, #e8bc70
pine_sign, #f1bc6c
pipette, #ffa7ff
plum_boat, #b16876
plum_chest_boat, #a2685a
plum_door, #be6482
plum_hanging_sign, #c0708c
plum_sign, #cd7387
pollen_cluster_crystalline, #ffffff
pollen_cluster_normal, #ffffff
pollen_fertile, #ffffff
poplar_boat, #ddd765
poplar_chest_boat, #beac52
poplar_door, #f7f468
poplar_hanging_sign, #f0f07c
poplar_sign, #fbfe87
portable_alyzer, #c2dee1
propolis_normal, #e1c6ee
propolis_pulsating, #e1c6ee
propolis_silky, #e1c6ee
propolis_volcanic, #e1c6ee
pulsating_dust, #239a86
pulsating_mesh, #84a8da
raw_tin, #d7cfbe
refractory_wax, #d24741
royal_jelly, #ffff80
scented_paneling, #c075c2
scoop, #c5b8a1
sequoia_boat, #8a584e
sequoia_chest_boat, #8c5e41
sequoia_door, #915e4e
sequoia_hanging_sign, #93645f
sequoia_sign, #a16152
serum_ge, #dde8ff
silk_wisp, #ffb6ff
smoker, #b2a79a
soldering_iron, #ffa7ff
stamp_100n, #fffbff
stamp_10n, #fffbff
stamp_1n, #fffbff
stamp_20n, #fffbff
stamp_2n, #fffbff
stamp_50n, #fffbff
stamp_5n, #fffbff
sturdy_machine, #ffcc6e
teak_boat, #807662
teak_chest_boat, #84704e
teak_door, #91896f
teak_hanging_sign, #878375
teak_sign, #807a6b
walnut_boat, #5e4a37
walnut_chest_boat, #6f5533
walnut_door, #6b553e
walnut_hanging_sign, #665547
walnut_sign, #695a47
wenge_boat, #5a4e3e
wenge_chest_boat, #6e5837
wenge_door, #615843
wenge_hanging_sign, #5e584e
wenge_sign, #5f584d
willow_boat, #a09a50
willow_chest_boat, #988743
willow_door, #b4b558
willow_hanging_sign, #b4b562
willow_sign, #bfbe68
wood_pulp, #d0a057
woven_silk, #ffebff
wrench, #ffee72
zebrawood_boat, #a1805f
zebrawood_chest_boat, #9b7a4e
zebrawood_door, #af8a69
zebrawood_hanging_sign, #bb9a79
zebrawood_sign, #bf9772
